id;corp_code;manager_name;manager_phone_num;team_code;total_sales_amount;enter_day;out_day;use_yn
1;Tools;Cheese scale;Vermont Metal;redundant;43186;2020-12-23;2020-12-23;N
2;Wooden synthesize matrix;efficient;compress matrix networks;Clothing SAS;38015;2020-12-23;2020-12-23;N
3;Berkshire feed;Awesome Rubber Sausages model;navigating Puerto Rico Practical Frozen Shirt;neural;98122;2020-12-23;2020-12-23;Y
4;multi-byte;Texas;HDD Concrete;metrics Beauty sticky;15107;2020-12-23;2020-12-23;Y
5;invoice;archive index Computer;compressing Shoes;e-business lavender synthesizing;6860;2020-12-23;2020-12-24;N
6;grow;Assistant card Handmade Concrete Keyboard;Albania Orchestrator scalable;synthesize;47312;2020-12-23;2020-12-23;N
7;input Tasty Soft Table Avon;Officer Mauritius Rupee Toys;Guam;AI PNG Checking Account;10234;2020-12-23;2020-12-23;Y
8;salmon;Bedfordshire Tennessee;project International;Villages teal Buckinghamshire;97214;2020-12-23;2020-12-23;Y
9;Court mint green Mouse;green;Berkshire evolve workforce;solid state Small Frozen Gloves;66402;2020-12-23;2020-12-23;Y
10;Creative;Soft Regional;sexy Frozen Tasty;flexibility 1080p;87729;2020-12-23;2020-12-23;Y
