id;corp_code;tm_manager_name;tm_manager_phone_num;team_code;crm_manage_cnt;use_yn
1;heuristic solid state;online Health Wooden;hard drive Berkshire Marketing;payment Technician;62341;Y
2;Music multi-state Licensed;withdrawal;system Lead;Nevada capability alarm;1431;N
3;input;Data dot-com;Rubber;Toys Handcrafted Fresh Sausages;71139;N
4;Canada reboot Pennsylvania;Incredible;Fork Lebanon;Generic Steel Tuna;5901;N
5;Cotton Indiana synthesizing;parse Money Market Account;hacking;invoice Web;3164;N
6;navigate Gloves Refined Fresh Shoes;bypass;Handmade Concrete Chips;Berkshire Quality maximize;64476;N
7;online Nepalese Rupee modular;Underpass hybrid;Regional;Albania;57435;Y
8;instruction set Forward Indiana;4th generation Money Market Account;payment Armenia;embrace;81841;Y
9;optical;global purple;orange;Electronics;25643;N
10;deploy web services;purple;panel calculate;Chips COM International;65025;N
